Rank,Class,ModelYear,Manufacturer,ModelName,VehicleType,Weight,DriveType,Transmission,Gears,FuelDelivery,Horsepower,EngineDisplacement,MPG_City,MPG_Hwy,AvgMPG
High,Car,1984,Honda,CIVIC COUPE,Sedan/Wagon,2000,Front,Manual,5,Carb,60,82,45.7,51.2,48
High,Car,1985,GM,FIREFLY,Sedan/Wagon,1750,Front,Manual,5,Carb,48,61,47.4,52.6,49.6
High,Car,1985,GM,SPRINT,Sedan/Wagon,1750,Front,Manual,5,Carb,48,61,47.4,52.6,49.6
High,Car,1985,Suzuki,SA310,Sedan/Wagon,1750,Front,Manual,5,Carb,48,61,47.4,52.6,49.6
High,Car,1986,GM,SPRINT ER,Sedan/Wagon,1750,Front,Manual,5,Carb,46,61,54.8,59.2,56.8
High,Car,1987,GM,SPRINT ER,Sedan/Wagon,1750,Front,Manual,5,Carb,46,61,52.7,57.4,54.8
High,Car,1988,GM,SPRINT METRO,Sedan/Wagon,1750,Front,Manual,5,Carb,46,61,52.2,57.1,54.4
High,Car,1989,Honda,CIVIC CRX,Sedan/Wagon,2000,Front,Manual,5,Port,62,91,47.9,53.8,50.6
High,Car,1990,GM,METRO XFI,Sedan/Wagon,1750,Front,Manual,5,TBI,49,61,50.7,56.7,53.4
High,Car,1991,GM,METRO XFI,Sedan/Wagon,1750,Front,Manual,5,TBI,55,61,50.2,56.3,53
High,Car,1992,GM,METRO XFi,Sedan/Wagon,1750,Front,Manual,5,TBI,55,61,49.6,56,52.6
High,Car,1993,GM,METRO XFi,Sedan/Wagon,1750,Front,Manual,5,TBI,55,61,49.1,55.6,52.2
High,Car,1994,GM,METRO XFi,Sedan/Wagon,1750,Front,Manual,5,TBI,55,61,49.3,55.3,52.2
High,Car,1995,Honda,CIVIC HB VX,Sedan/Wagon,2250,Front,Manual,5,Port,91,91,42.4,53,47.3
High,Car,1996,Suzuki,SWIFT,Sedan/Wagon,2000,Front,Manual,5,TBI,55,61,40.3,46.4,43.3
